Cow;days;milk_fit_conc;milk_real_conc;fat_fit_conc;fat_real_conc;protein_fit_conc;protein_real_conc;fit_price;real_price
67388;140;33,38428345;48,40961478;4,336665628;4,57195459;3,362736799;3,547313308;10,54590491;16,39561728
67388;141;33,32740369;48,32713504;4,338190732;4,57356244;3,365230539;3,549943927;10,53574634;16,37962634
67388;142;33,270608;48,24477719;4,339730526;4,575185776;3,367719729;3,552569746;10,52559935;16,36365376
67388;143;33,21389935;48,16254556;4,341284782;4,576824359;3,370204319;3,555190712;10,51546444;16,34770033
67388;144;33,15728064;48,08044437;4,342853278;4,578477955;3,37268426;3,557806774;10,50534209;16,33176682
67388;145;33,10075469;47,99847766;4,344435796;4,580146334;3,375159504;3,560417881;10,49523278;16,31585398
67388;146;33,04432419;47,91664937;4,346032126;4,581829274;3,377630009;3,563023989;10,48513698;16,29996253
67388;147;32,98799176;47,8349633;4,347642061;4,583526557;3,380095731;3,565625052;10,47505512;16,2840932
67388;148;32,93175993;47,7534231;4,349265399;4,58523797;3,382556632;3,568221029;10,46498767;16,26824667
67388;149;32,87563116;47,67203233;4,350901942;4,586963306;3,385012674;3,570811879;10,45493504;16,25242363
67388;150;32,81960779;47,59079441;4,3525515;4,588702361;3,38746382;3,573397566;10,44489767;16,23662474
67388;151;32,76369212;47,50971266;4,354213883;4,590454938;3,389910038;3,575978053;10,43487596;16,22085065
67388;152;32,70788635;47,42879028;4,355888907;4,592220842;3,392351294;3,578553307;10,42487031;16,205102
67388;153;32,65219261;47,34803035;4,357576394;4,593999885;3,394787559;3,581123296;10,41488112;16,18937939
67388;154;32,59661297;47,26743586;4,359276168;4,595791881;3,397218804;3,583687989;10,40490877;16,17368344
67388;155;32,54114941;47,18700971;4,360988057;4,597596649;3,399645002;3,586247358;10,39495363;16,15801473
67388;156;32,48580385;47,10675468;4,362711893;4,599414014;3,402066128;3,588801377;10,38501608;16,14237384
67388;157;32,43057817;47,02667345;4,364447513;4,601243801;3,404482157;3,591350018;10,37509646;16,12676133
67388;158;32,37547413;46,94676863;4,366194757;4,603085843;3,406893067;3,59389326;10,36519514;16,11117775
67388;159;32,32049349;46,86704274;4,367953466;4,604939972;3,409298836;3,59643108;10,35531244;16,09562363
67388;160;32,2656379;46,78749819;4,369723489;4,606806029;3,411699446;3,598963456;10,34544871;16,08009951
67388;161;32,21090898;46,70813731;4,371504675;4,608683854;3,414094877;3,601490369;10,33560427;16,06460588
67388;162;32,15630829;46,62896238;4,373296876;4,610573293;3,416485112;3,604011801;10,32577943;16,04914326
67388;163;32,10183733;46,54997556;4,375099951;4,612474194;3,418870134;3,606527734;10,31597452;16,03371212
67388;164;32,04749754;46,47117896;4,376913757;4,61438641;3,42124993;3,609038154;10,30618983;16,01831295
67388;165;31,99329033;46,3925746;4,378738157;4,616309794;3,423624484;3,611543044;10,29642565;16,00294622
67388;166;31,93921704;46,31416444;4,380573016;4,618244205;3,425993784;3,614042392;10,28668229;15,98761237
67388;167;31,88527897;46,23595036;4,382418203;4,620189504;3,428357818;3,616536185;10,27696003;15,97231185
67388;168;31,83147738;46,15793417;4,384273589;4,622145555;3,430716575;3,619024411;10,26725914;15,95704509
67388;169;31,77781346;46,08011762;4,386139046;4,624112224;3,433070045;3,621507061;10,25757989;15,94181253
67388;170;31,72428837;46,0025024;4,388014451;4,62608938;3,435418219;3,623984123;10,24792254;15,92661457
67388;171;31,67090325;45,92509012;4,389899683;4,628076897;3,437761089;3,626455591;10,23828737;15,91145162
67388;172;31,61765916;45,84788236;4,391794622;4,630074648;3,440098648;3,628921456;10,22867462;15,89632408
67388;173;31,56455714;45,77088061;4,393699153;4,63208251;3,442430889;3,63138171;10,21908453;15,88123233
67388;174;31,51159819;45,69408631;4,395613161;4,634100364;3,444757806;3,633836349;10,20951735;15,86617676
67388;175;31,45878326;45,61750086;4,397536534;4,636128091;3,447079394;3,636285366;10,19997332;15,85115772
67388;176;31,40611328;45,5411256;4,399469164;4,638165577;3,449395649;3,638728758;10,19045267;15,83617558
67388;177;31,35358912;45,46496179;4,401410941;4,640212707;3,451706568;3,64116652;10,18095562;15,82123069
67388;178;31,30121165;45,38901069;4,403361762;4,642269371;3,454012147;3,643598649;10,17148239;15,8063234
67388;179;31,24898168;45,31327346;4,405321522;4,64433546;3,456312384;3,646025143;10,1620332;15,79145405
67388;180;31,19689998;45,23775125;4,407290122;4,646410867;3,458607277;3,648446;10,15260826;15,77662296
67388;181;31,14496731;45,16244515;4,40926746;4,648495487;3,460896826;3,65086122;10,14320778;15,76183045
67388;182;31,0931844;45,08735619;4,411253441;4,650589219;3,463181029;3,6532708;10,13383195;15,74707684
67388;183;31,04155192;45,01248537;4,413247969;4,652691961;3,465459888;3,655674742;10,12448098;15,73236244
67388;184;30,99007053;44,93783366;4,41525095;4,654803615;3,467733401;3,658073046;10,11515505;15,71768753
67388;185;30,93874088;44,86340197;4,417262291;4,656924084;3,470001572;3,660465714;10,10585436;15,70305243
